,Top,Disc,Grup,Puntuacio,Numero_Reviews,Format,Preu_Euro
84,85,Greatest Hits,The Police,4.6,518,CD de audio,8.63
85,86,B.S.O. Quentin Tarantino's Once Upon A Time In…,Vv.Aa,4.7,680,CD de audio,12.99
86,87,Dreamers [Vinilo],Elyella,5.0,2,Disco de vinilo,16.99
87,88,Kiwanuka [Vinilo],Michael Kiwanuka,4.6,372,Disco de vinilo,28.99
88,89,The Black Parade [Vinilo],My Chemical Romance,4.8,312,Disco de vinilo,21.99
89,90,Their Greatest Hits - Volúmenes 1 & 2 [Vinilo],Eagles,4.7,686,Disco de vinilo,33.99
90,91,Wish You Were Here,Pink Floyd,4.7,822,CD de audio,9.99
91,92,London Calling,The Clash,4.6,656,CD de audio,9.99
92,93,Mi Paraíso (CD Digipack),Los Secretos,4.7,93,CD de audio,7.49
93,94,Nevermind (Vinilo 180 Gr.) [Vinilo],Nirvana,4.7,"1,636",Disco de vinilo,15.96
94,95,Som Riu,Txarango,4.9,26,CD de audio,12.99
95,96,Mis Treinta Mejores Canciones,Jose Luis Perales,4.5,46,CD de audio,9.99
96,97,Sgt. Pepper’s - Anniversary Edition [Vinilo],The Beatles,4.7,"3,579",Disco de vinilo,27.99
97,98,Donde Nace El Infarto,Ciudad Jara,4.9,22,CD de audio,14.99
98,99,"Enemigos, Los -La Cuenta Atrás  /  La Vida Mata…",Enemigos,0,0,CD de audio,13.99
99,100,THE WAKE OF MAGELLAN',SAVATAGE,4.5,44,CD de audio,9.25
